text,category
pay electricity bill after lunch,LIFE_ADMIN
pay electricity bill for 20 minutes,LIFE_ADMIN
pay electricity bill for one hour,LIFE_ADMIN
pay electricity bill this week,LIFE_ADMIN
pay electricity bill tomorrow,LIFE_ADMIN
pay electricity bill in the morning,LIFE_ADMIN
buy groceries,LIFE_ADMIN
buy groceries today,LIFE_ADMIN
buy groceries this evening,LIFE_ADMIN
buy groceries before work,LIFE_ADMIN
buy groceries after lunch,LIFE_ADMIN
buy groceries for 20 minutes,LIFE_ADMIN
buy groceries for one hour,LIFE_ADMIN
buy groceries this week,LIFE_ADMIN
buy groceries tomorrow,LIFE_ADMIN
buy groceries in the morning,LIFE_ADMIN
recharge phone,LIFE_ADMIN
recharge phone today,LIFE_ADMIN
recharge phone this evening,LIFE_ADMIN
recharge phone before work,LIFE_ADMIN
recharge phone after lunch,LIFE_ADMIN
recharge phone for 20 minutes,LIFE_ADMIN
recharge phone for one hour,LIFE_ADMIN
recharge phone this week,LIFE_ADMIN
recharge phone tomorrow,LIFE_ADMIN
recharge phone in the morning,LIFE_ADMIN
submit a form,LIFE_ADMIN
submit a form today,LIFE_ADMIN
submit a form this evening,LIFE_ADMIN
submit a form before work,LIFE_ADMIN
submit a form after lunch,LIFE_ADMIN
submit a form for 20 minutes,LIFE_ADMIN
submit a form for one hour,LIFE_ADMIN
submit a form this week,LIFE_ADMIN
submit a form tomorrow,LIFE_ADMIN
submit a form in the morning,LIFE_ADMIN
book tickets,LIFE_ADMIN
book tickets today,LIFE_ADMIN
book tickets this evening,LIFE_ADMIN
book tickets before work,LIFE_ADMIN
book tickets after lunch,LIFE_ADMIN
book tickets for 20 minutes,LIFE_ADMIN
book tickets for one hour,LIFE_ADMIN
book tickets this week,LIFE_ADMIN
book tickets tomorrow,LIFE_ADMIN
book tickets in the morning,LIFE_ADMIN
fix laptop,LIFE_ADMIN
fix laptop today,LIFE_ADMIN
fix laptop this evening,LIFE_ADMIN
fix laptop before work,LIFE_ADMIN
fix laptop after lunch,LIFE_ADMIN
fix laptop for 20 minutes,LIFE_ADMIN
fix laptop for one hour,LIFE_ADMIN
fix laptop this week,LIFE_ADMIN
fix laptop tomorrow,LIFE_ADMIN
fix laptop in the morning,LIFE_ADMIN
renew subscription,LIFE_ADMIN
renew subscription today,LIFE_ADMIN
renew subscription this evening,LIFE_ADMIN
renew subscription before work,LIFE_ADMIN
renew subscription after lunch,LIFE_ADMIN
renew subscription for 20 minutes,LIFE_ADMIN
renew subscription for one hour,LIFE_ADMIN
renew subscription this week,LIFE_ADMIN
renew subscription tomorrow,LIFE_ADMIN
renew subscription in the morning,LIFE_ADMIN
schedule appointment,LIFE_ADMIN
schedule appointment today,LIFE_ADMIN
schedule appointment this evening,LIFE_ADMIN
schedule appointment before work,LIFE_ADMIN
schedule appointment after lunch,LIFE_ADMIN
schedule appointment for 20 minutes,LIFE_ADMIN
schedule appointment for one hour,LIFE_ADMIN
schedule appointment this week,LIFE_ADMIN
schedule appointment tomorrow,LIFE_ADMIN
schedule appointment in the morning,LIFE_ADMIN
clean email inbox,LIFE_ADMIN
clean email inbox today,LIFE_ADMIN
clean email inbox this evening,LIFE_ADMIN
clean email inbox before work,LIFE_ADMIN
clean email inbox after lunch,LIFE_ADMIN
clean email inbox for 20 minutes,LIFE_ADMIN
clean email inbox for one hour,LIFE_ADMIN
clean email inbox this week,LIFE_ADMIN
clean email inbox tomorrow,LIFE_ADMIN
clean email inbox in the morning,LIFE_ADMIN
pay internet bill,LIFE_ADMIN
pay internet bill today,LIFE_ADMIN
pay internet bill this evening,LIFE_ADMIN
pay internet bill before work,LIFE_ADMIN
pay internet bill after lunch,LIFE_ADMIN
pay internet bill for 20 minutes,LIFE_ADMIN
pay internet bill for one hour,LIFE_ADMIN
pay internet bill this week,LIFE_ADMIN
pay internet bill tomorrow,LIFE_ADMIN
pay internet bill in the morning,LIFE_ADMIN
wake up early,PERSONAL_GROWTH
wake up at 6am,PERSONAL_GROWTH
wake up early today,PERSONAL_GROWTH
read self help book,PERSONAL_GROWTH
reflect on my day,PERSONAL_GROWTH
call mom,RELATIONSHIPS
call dad,RELATIONSHIPS
date night,RELATIONSHIPS
hangout with colleagues,RELATIONSHIPS
reply to emails from friends,RELATIONSHIPS
buy a gift for friend,RELATIONSHIPS
write blog post,CREATIVITY
practice guitar,CREATIVITY
paint a picture,CREATIVITY
draw in sketchbook,CREATIVITY
edit video,CREATIVITY
brainstorm ideas,CREATIVITY
go to gym,HEALTH
drink water,HEALTH
eat vegetables,HEALTH
run 5k,HEALTH
stretch,HEALTH
lift weights,HEALTH
meditate for 10 minutes,MINDFULNESS
breathwork session,MINDFULNESS
gratitude journal,MINDFULNESS
digital detox,MINDFULNESS
sleep 8 hours,REST
take a nap,REST
wind down,REST
relax on couch,REST
take a break,REST
study for exam,LEARNING
read textbook,LEARNING
watch tutorial,LEARNING
practice coding,LEARNING
learn spanish,LEARNING
update resume,CAREER
apply for jobs,CAREER
finish project,CAREER
meeting with boss,CAREER
code review,CAREER
pay bills,LIFE_ADMIN
grocery shopping,LIFE_ADMIN
clean house,LIFE_ADMIN
do laundry,LIFE_ADMIN
take out trash,LIFE_ADMIN
vacuum the floor,LIFE_ADMIN
mow the lawn,LIFE_ADMIN
walk the dog,HEALTH
feed the dog,LIFE_ADMIN
do yoga,HEALTH
watch a movie,REST
watch movies,REST
watch netflix,REST
play video games,REST
play games,REST
watch anime,REST
watch tv,REST
go to the cinema,REST
watch youtube,REST
binge watch a series,REST
